04-29 18:38:29.270: D/GetKey(15675): 3925***ÒôÃû£ºE_5, ¼üºÅ£º56, ÆµÂÊ£º659.255Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:38:29.310: D/GetKey(15675): 3926***ÒôÃû£ºE_5, ¼üºÅ£º56, ÆµÂÊ£º659.255Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:38:29.350: D/GetKey(15675): 3927***ÒôÃû£ºE_5, ¼üºÅ£º56, ÆµÂÊ£º659.255Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:38:29.400: D/GetKey(15675): 3928***ÒôÃû£º#F(bG)_5, ¼üºÅ£º58, ÆµÂÊ£º739.989Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:38:29.440: D/GetKey(15675): 3929***ÒôÃû£ºE_5, ¼üºÅ£º56, ÆµÂÊ£º659.255Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:38:29.440: D/GetKey(15675): 3929***ÒôÃû£º#F(bG)_5, ¼üºÅ£º58, ÆµÂÊ£º739.989Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:38:29.490: D/GetKey(15675): 3930***ÒôÃû£º#F(bG)_5, ¼üºÅ£º58, ÆµÂÊ£º739.989Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:38:29.530: D/GetKey(15675): 3931***ÒôÃû£ºG_5, ¼üºÅ£º59, ÆµÂÊ£º783.991Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:38:29.570: D/GetKey(15675): 3932***ÒôÃû£ºG_5, ¼üºÅ£º59, ÆµÂÊ£º783.991Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:38:29.610: D/GetKey(15675): 3933***ÒôÃû£ºG_5, ¼üºÅ£º59, ÆµÂÊ£º783.991Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:38:29.650: D/GetKey(15675): 3934***ÒôÃû£ºG_5, ¼üºÅ£º59, ÆµÂÊ£º783.991Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:38:29.690: D/GetKey(15675): 3935***ÒôÃû£ºG_5, ¼üºÅ£º59, ÆµÂÊ£º783.991Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:38:29.730: D/GetKey(15675): 3936***ÒôÃû£ºG_5, ¼üºÅ£º59, ÆµÂÊ£º783.991Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:38:29.780: D/GetKey(15675): 3937***ÒôÃû£ºG_5, ¼üºÅ£º59, ÆµÂÊ£º783.991Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:38:29.810: D/GetKey(15675): 3938***ÒôÃû£ºG_5, ¼üºÅ£º59, ÆµÂÊ£º783.991Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:38:29.850: D/GetKey(15675): 3939***ÒôÃû£ºG_5, ¼üºÅ£º59, ÆµÂÊ£º783.991Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:38:29.890: D/GetKey(15675): 3940***ÒôÃû£ºG_5, ¼üºÅ£º59, ÆµÂÊ£º783.991Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:38:29.930: D/GetKey(15675): 3941***ÒôÃû£ºG_5, ¼üºÅ£º59, ÆµÂÊ£º783.991Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:38:29.970: D/GetKey(15675): 3942***ÒôÃû£ºD_5, ¼üºÅ£º54, ÆµÂÊ£º587.33Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:38:29.970: D/GetKey(15675): 3942***ÒôÃû£ºG_5, ¼üºÅ£º59, ÆµÂÊ£º783.991Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:38:30.010: D/GetKey(15675): 3943***ÒôÃû£ºG_5, ¼üºÅ£º59, ÆµÂÊ£º783.991Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:38:30.070: D/GetKey(15675): 3944***ÒôÃû£ºE_5, ¼üºÅ£º56, ÆµÂÊ£º659.255Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
