04-29 18:39:04.270: D/GetKey(15675): 4654***ÒôÃû£º#F(bG)_5, ¼üºÅ£º58, ÆµÂÊ£º739.989Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:04.340: D/GetKey(15675): 4655***ÒôÃû£ºG_5, ¼üºÅ£º59, ÆµÂÊ£º783.991Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:04.410: D/GetKey(15675): 4656***ÒôÃû£ºG_5, ¼üºÅ£º59, ÆµÂÊ£º783.991Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:04.480: D/GetKey(15675): 4657***ÒôÃû£ºG_5, ¼üºÅ£º59, ÆµÂÊ£º783.991Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:04.540: D/GetKey(15675): 4658***ÒôÃû£º#F(bG)_5, ¼üºÅ£º58, ÆµÂÊ£º739.989Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:04.610: D/GetKey(15675): 4659***ÒôÃû£º#F(bG)_5, ¼üºÅ£º58, ÆµÂÊ£º739.989Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:04.670: D/GetKey(15675): 4660***ÒôÃû£ºG_5, ¼üºÅ£º59, ÆµÂÊ£º783.991Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:04.740: D/GetKey(15675): 4661***ÒôÃû£ºG_5, ¼üºÅ£º59, ÆµÂÊ£º783.991Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:04.870: D/GetKey(15675): 4663***ÒôÃû£ºG_5, ¼üºÅ£º59, ÆµÂÊ£º783.991Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:04.940: D/GetKey(15675): 4664***ÒôÃû£ºG_5, ¼üºÅ£º59, ÆµÂÊ£º783.991Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:05.080: D/GetKey(15675): 4667***ÒôÃû£º#D(bE)_5, ¼üºÅ£º55, ÆµÂÊ£º622.254Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:05.120: D/GetKey(15675): 4668***ÒôÃû£ºD_5, ¼üºÅ£º54, ÆµÂÊ£º587.33Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:05.160: D/GetKey(15675): 4669***ÒôÃû£ºD_5, ¼üºÅ£º54, ÆµÂÊ£º587.33Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:05.210: D/GetKey(15675): 4670***ÒôÃû£ºD_5, ¼üºÅ£º54, ÆµÂÊ£º587.33Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:05.250: D/GetKey(15675): 4671***ÒôÃû£ºD_5, ¼üºÅ£º54, ÆµÂÊ£º587.33Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:05.290: D/GetKey(15675): 4672***ÒôÃû£ºD_5, ¼üºÅ£º54, ÆµÂÊ£º587.33Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:05.340: D/GetKey(15675): 4673***ÒôÃû£ºD_5, ¼üºÅ£º54, ÆµÂÊ£º587.33Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:05.380: D/GetKey(15675): 4674***ÒôÃû£ºD_5, ¼üºÅ£º54, ÆµÂÊ£º587.33Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:05.420: D/GetKey(15675): 4675***ÒôÃû£ºD_5, ¼üºÅ£º54, ÆµÂÊ£º587.33Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:05.460: D/GetKey(15675): 4676***ÒôÃû£º#C(bD)_5, ¼üºÅ£º53, ÆµÂÊ£º554.365Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:05.500: D/GetKey(15675): 4677***ÒôÃû£ºD_5, ¼üºÅ£º54, ÆµÂÊ£º587.33Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:05.540: D/GetKey(15675): 4678***ÒôÃû£ºD_5, ¼üºÅ£º54, ÆµÂÊ£º587.33Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:05.540: D/GetKey(15675): 4678***ÒôÃû£ºA_5, ¼üºÅ£º61, ÆµÂÊ£º880.0Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:05.580: D/GetKey(15675): 4679***ÒôÃû£ºD_5, ¼üºÅ£º54, ÆµÂÊ£º587.33Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:05.590: D/GetKey(15675): 4679***ÒôÃû£ºA_5, ¼üºÅ£º61, ÆµÂÊ£º880.0Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:05.640: D/GetKey(15675): 4680***ÒôÃû£ºD_5, ¼üºÅ£º54, ÆµÂÊ£º587.33Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:05.680: D/GetKey(15675): 4681***ÒôÃû£ºD_5, ¼üºÅ£º54, ÆµÂÊ£º587.33Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:05.680: D/GetKey(15675): 4681***ÒôÃû£ºA_5, ¼üºÅ£º61, ÆµÂÊ£º880.0Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:05.720: D/GetKey(15675): 4682***ÒôÃû£ºD_5, ¼üºÅ£º54, ÆµÂÊ£º587.33Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:05.770: D/GetKey(15675): 4683***ÒôÃû£ºD_5, ¼üºÅ£º54, ÆµÂÊ£º587.33Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:05.810: D/GetKey(15675): 4684***ÒôÃû£ºD_5, ¼üºÅ£º54, ÆµÂÊ£º587.33Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:05.850: D/GetKey(15675): 4685***ÒôÃû£ºD_5, ¼üºÅ£º54, ÆµÂÊ£º587.33Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:05.890: D/GetKey(15675): 4686***ÒôÃû£ºD_5, ¼üºÅ£º54, ÆµÂÊ£º587.33Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:05.930: D/GetKey(15675): 4687***ÒôÃû£ºD_5, ¼üºÅ£º54, ÆµÂÊ£º587.33Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:05.970: D/GetKey(15675): 4688***ÒôÃû£ºD_5, ¼üºÅ£º54, ÆµÂÊ£º587.33Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:06.020: D/GetKey(15675): 4689***ÒôÃû£ºD_5, ¼üºÅ£º54, ÆµÂÊ£º587.33Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:06.060: D/GetKey(15675): 4690***ÒôÃû£ºD_5, ¼üºÅ£º54, ÆµÂÊ£º587.33Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:06.110: D/GetKey(15675): 4691***ÒôÃû£ºD_5, ¼üºÅ£º54, ÆµÂÊ£º587.33Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:06.150: D/GetKey(15675): 4692***ÒôÃû£º#C(bD)_5, ¼üºÅ£º53, ÆµÂÊ£º554.365Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:06.190: D/GetKey(15675): 4693***ÒôÃû£ºD_5, ¼üºÅ£º54, ÆµÂÊ£º587.33Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:06.230: D/GetKey(15675): 4694***ÒôÃû£ºD_5, ¼üºÅ£º54, ÆµÂÊ£º587.33Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:06.270: D/GetKey(15675): 4695***ÒôÃû£ºD_5, ¼üºÅ£º54, ÆµÂÊ£º587.33Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
